#gen	avg	min
0	777.1913736	352.588853333
1	806.478413333	352.427653333
2	838.006389467	352.33968
3	869.006851067	352.22092
4	903.7476252	352.0372
5	929.399560133	352.00924
6	956.576786133	351.81984
7	977.2545712	351.73924
8	1000.9157492	351.68924
9	1021.40409507	351.57592
10	1037.361436	351.50552
11	1055.06815587	351.47756
12	1068.3815672	351.34768
13	1085.64664147	351.22996
14	1101.99970093	350.966066667
15	1114.0578112	350.923626667
16	1128.46599307	350.85348
17	1139.834888	350.82716
18	1149.4359552	350.640613333
19	1156.0229476	350.466373333
20	1165.47693267	350.388533333
21	1175.91160493	350.285413333
22	1183.30591813	350.151853333
23	1189.92487867	349.973533333
24	1200.31701187	349.940386667
25	1210.7858328	349.858466667
26	1212.92586253	349.755333333
27	1220.8604588	349.5372
28	1227.7438312	349.394453333
29	1235.41358787	349.281133333
30	1245.64344987	349.201333333
31	1253.9124224	349.044133333
32	1260.6431412	348.959106667
33	1266.65727427	348.9246
34	1271.2803664	348.855773333
35	1275.01647987	348.551306667
36	1281.40556533	348.423466667
37	1287.75261667	348.381506667
38	1295.75896293	348.280613333
39	1300.7304044	348.201453333
40	1302.96870467	348.132506667
41	1308.29554027	348.10496
42	1313.40608907	348.062866667
43	1317.396436	347.986653333
44	1317.50618147	347.802426667
45	1325.52223773	347.671266667
46	1329.03793907	347.58316
47	1332.40690213	347.525173333
48	1335.5415372	347.485306667
49	1338.976912	347.258973333
50	1343.4933172	347.212453333
51	1345.878314	347.1306
52	1348.62709413	347.07448
53	1352.20300093	346.99316
54	1355.4562576	346.883866667
55	1359.98732267	346.755186667
56	1361.2108472	346.73144
57	1362.844348	346.67964
58	1365.62090187	346.568066667
59	1371.0482528	346.549973333
60	1371.24006893	346.502586667
61	1371.82387093	346.412946667
62	1376.08419253	346.242346667
63	1378.66971707	346.14768
64	1382.84159853	346.034533333
65	1386.80340053	345.96076
66	1388.1360588	345.795733333
67	1393.22615	345.77352
68	1396.91064747	345.722546667
69	1396.13076653	345.59676
70	1398.80297373	345.51664
71	1402.28925573	345.460746667
72	1404.09977787	345.427
73	1410.54124827	345.39764
74	1413.26717013	345.331666667
75	1416.11976747	345.323213333
76	1417.425656	345.228933333
77	1416.63232507	345.211733333
78	1419.13352053	345.159973333
79	1420.7181496	345.087266667
80	1422.24623853	345.012693333
81	1423.9303924	344.983693333
82	1422.6435204	344.96288
83	1424.94481027	344.95152
84	1427.23929707	344.93068
85	1428.05563107	344.877813333
86	1425.3077608	344.809106667
87	1426.815836	344.746506667
88	1428.88364173	344.73704
89	1431.3142572	344.629946667
90	1434.12776507	344.59668
91	1431.4004936	344.508973333
92	1434.40793373	344.43076
93	1436.33184507	344.37924
94	1438.49425187	344.369746667
95	1441.5936092	344.302866667
96	1440.68401573	344.279533333
97	1444.86434773	344.21416
98	1442.98658027	344.21416
99	1444.14153813	344.182493333
100	1443.75533827	344.17984
101	1443.76076053	344.060866667
102	1448.15570093	344.055306667
103	1450.0961712	343.907693333
104	1452.95494853	343.848773333
105	1450.03974973	343.788826667
106	1451.28065747	343.756426667
107	1457.21098013	343.69844
108	1454.63166333	343.690733333
109	1453.35041853	343.6344
110	1457.5123516	343.57428
111	1456.99782427	343.561586667
112	1455.24826027	343.513066667
113	1462.67870013	343.41728
114	1463.86452093	343.309693333
115	1461.48758813	343.253053333
116	1460.60735507	343.234213333
117	1461.73895787	343.20212
118	1459.05735413	343.13388
119	1461.61013227	343.063373333
120	1460.98066213	343.048013333
121	1462.9602884	342.986666667
122	1463.3738484	342.935533333
123	1464.09662253	342.84692
124	1463.74136307	342.8298
125	1466.16987533	342.783706667
126	1466.9663012	342.74788
127	1468.4968372	342.67276
128	1471.1179776	342.65756
129	1473.32504413	342.630266667
130	1476.58205853	342.59532
131	1476.52614867	342.59532
132	1476.273762	342.576386667
133	1476.6522924	342.501893333
134	1477.97927147	342.490293333
135	1480.80654133	342.477733333
136	1482.661718	342.460306667
137	1484.00838733	342.409066667
138	1482.473338	342.37496
139	1480.11114573	342.348986667
140	1480.80783	342.321213333
141	1481.5267956	342.30868
142	1480.62560253	342.2926
143	1482.13712693	342.274533333
144	1481.6328656	342.19684
145	1484.35819187	342.181573333
146	1483.02037093	342.149613333
