#gen	avg	min
0	906.488709867	344.24908
1	911.198214933	343.567653333
2	915.395054267	342.832266667
3	924.185313867	342.25604
4	935.6677336	341.838626667
5	944.502710933	340.98664
6	953.190938533	340.440973333
7	959.840328667	339.830733333
8	968.741400667	339.153706667
9	976.133975067	338.7346
10	982.6759848	338.237253333
11	989.419904667	337.780786667
12	993.062026133	337.31932
13	997.624745733	336.879946667
14	1006.6304992	336.660266667
15	1013.3925568	336.167493333
16	1023.46164573	335.8764
17	1030.38138947	335.274893333
18	1033.7968168	334.664973333
19	1039.74885347	334.137826667
20	1046.77983573	333.692213333
21	1052.05157147	333.507813333
22	1056.41874173	333.113066667
23	1059.2502884	332.781146667
24	1061.6489104	332.519053333
25	1065.61569827	331.936826667
26	1073.22751827	331.604546667
27	1075.88388147	331.32512
28	1080.45907	330.870333333
29	1089.8329188	330.4808
30	1095.98925893	330.07448
31	1098.5599136	329.777573333
32	1100.2535484	329.67032
33	1107.779586	329.32492
34	1109.71685507	329.04408
35	1113.28525373	328.94204
36	1119.87804413	328.503813333
37	1122.88584747	328.29064
38	1128.05513027	327.993906667
39	1131.995786	327.52748
40	1134.12792	327.362786667
41	1137.43997147	326.59804
42	1139.42777067	326.074773333
43	1143.7593868	325.646986667
44	1147.08869733	325.20812
45	1151.45959307	324.939053333
46	1155.71305587	324.776266667
47	1159.7072616	324.48304
48	1160.50710293	324.122746667
49	1162.6205944	323.678013333
50	1166.50889667	323.403346667
51	1166.13562573	323.086666667
52	1168.6747464	322.730666667
53	1175.61480733	322.37552
54	1177.58607947	322.127306667
55	1179.49522333	321.731973333
56	1184.0097632	321.384826667
57	1186.71314013	321.177853333
58	1188.25400107	320.85956
59	1191.70988333	320.456386667
60	1194.0550744	319.98256
61	1197.80885427	319.50492
62	1199.39878307	319.401493333
63	1203.06970747	319.185546667
64	1203.9879128	318.922933333
65	1208.93953853	318.74516
66	1208.38541427	318.473773333
67	1211.2075576	318.178213333
68	1212.26783133	318.117866667
69	1214.94341027	317.96784
70	1218.4173528	317.638306667
71	1220.9394968	317.387733333
72	1223.2894736	317.242986667
73	1223.3520124	317.097346667
74	1225.86867973	316.826733333
75	1227.08458467	316.722333333
76	1231.12633387	316.521733333
77	1234.63625307	316.451773333
78	1240.75203267	316.296133333
79	1240.7810232	315.851413333
80	1241.73440173	315.69176
81	1244.65530413	315.483773333
82	1247.21525893	315.1542
83	1247.27102493	315.04628
84	1249.8068704	314.595373333
85	1250.91222707	314.355786667
86	1254.46493587	314.075573333
87	1253.87922853	313.937786667
88	1254.55542173	313.901773333
89	1252.79656587	313.785586667
90	1255.97640613	313.60128
91	1257.2863312	313.568133333
92	1258.7561136	313.47372
93	1261.22111267	313.198213333
94	1261.53886293	313.051746667
95	1262.61601933	312.951093333
96	1261.9423496	312.81728
97	1265.0301184	312.609413333
98	1267.0527824	312.402106667
99	1266.3050928	312.208266667
